iter	Passed	Remaining
0	140	69882
1	144	35998
2	149	24743
3	153	19089
4	158	15708
5	162	13397
6	166	11748
7	170	10486
8	174	9509
9	178	8722
10	181	8054
11	184	7507
12	187	7040
13	191	6639
14	195	6316
15	198	6002
16	201	5738
17	205	5504
18	208	5286
19	212	5089
20	215	4909
21	218	4749
22	222	4614
23	225	4478
24	229	4355
25	232	4243
26	235	4130
27	238	4024
28	242	3935
29	245	3850
30	248	3766
31	252	3688
32	255	3618
33	259	3552
34	262	3492
35	266	3433
36	269	3374
37	273	3319
38	276	3269
39	280	3221
40	283	3174
41	286	3128
42	290	3082
43	293	3042
44	296	3000
45	300	2963
46	303	2927
47	306	2890
48	310	2853
49	313	2821
50	316	2783
51	319	2752
52	322	2721
53	326	2692
54	328	2661
55	331	2631
56	335	2604
57	338	2576
58	341	2553
59	344	2529
60	348	2506
61	351	2483
62	354	2459
63	357	2437
64	361	2416
65	364	2396
66	367	2376
67	370	2354
68	373	2333
69	377	2315
70	380	2296
71	383	2279
72	386	2261
73	389	2243
74	392	2225
75	396	2210
76	399	2196
77	403	2181
78	406	2166
79	409	2151
80	412	2134
81	415	2119
82	418	2103
83	421	2089
84	425	2075
85	427	2060
86	431	2048
87	434	2034
88	438	2023
89	441	2011
90	444	1997
91	447	1984
92	450	1972
93	454	1961
94	457	1949
95	460	1937
96	463	1926
97	466	1914
98	469	1903
99	473	1892
100	476	1881
101	479	1872
102	483	1861
103	486	1851
104	489	1839
105	492	1830
106	495	1820
107	499	1811
108	502	1801
109	505	1792
110	508	1783
111	511	1773
112	515	1764
113	518	1756
114	521	1746
115	525	1738
116	528	1729
117	531	1720
118	534	1712
119	537	1702
120	540	1693
121	544	1685
122	547	1678
123	550	1670
124	554	1662
125	557	1654
126	561	1647
127	564	1639
128	566	1630
129	570	1623
130	573	1615
131	576	1607
132	579	1599
133	583	1593
134	586	1585
135	589	1578
136	593	1571
137	596	1564
138	599	1557
139	602	1550
140	606	1543
141	609	1536
142	612	1529
143	615	1521
144	618	1514
145	621	1507
146	624	1500
147	628	1494
148	632	1488
149	635	1481
150	637	1474
151	641	1467
152	644	1461
153	647	1454
154	650	1447
155	653	1441
156	656	1434
157	659	1428
158	663	1422
159	666	1416
160	669	1410
161	673	1404
162	676	1398
163	679	1392
164	682	1386
165	686	1380
166	689	1375
167	692	1368
168	695	1362
169	699	1357
170	702	1351
171	705	1345
172	708	1339
173	711	1333
174	715	1328
175	718	1322
176	721	1317
177	725	1311
178	728	1305
179	731	1299
180	734	1294
181	737	1288
182	740	1282
183	743	1276
184	746	1270
185	749	1264
186	752	1260
187	756	1254
188	759	1249
189	762	1244
190	765	1238
191	768	1233
192	772	1228
193	775	1223
194	778	1217
195	781	1212
196	785	1207
197	788	1202
198	791	1197
199	795	1192
200	798	1188
201	802	1183
202	805	1178
203	808	1173
204	811	1168
205	814	1162
206	817	1157
207	820	1152
208	824	1147
209	827	1143
210	831	1138
211	834	1133
212	837	1129
213	841	1124
214	844	1119
215	847	1114
216	850	1109
217	853	1104
218	856	1099
219	860	1094
220	863	1090
221	866	1085
222	870	1080
223	873	1075
224	876	1071
225	879	1066
226	882	1061
227	886	1057
228	889	1052
229	892	1048
230	896	1043
231	899	1038
232	902	1034
233	906	1030
234	909	1025
235	912	1020
236	915	1016
237	918	1011
238	922	1007
239	925	1002
240	928	998
241	931	993
242	935	989
243	937	984
244	941	979
245	944	974
246	947	970
247	950	965
248	953	961
249	957	957
250	960	952
251	963	948
252	966	943
253	969	938
254	972	934
255	975	930
256	978	925
257	982	921
258	985	916
259	988	912
260	991	908
261	994	903
262	998	899
263	1001	895
264	1004	891
265	1007	886
266	1010	882
267	1014	877
268	1017	873
269	1020	869
270	1023	864
271	1026	860
272	1029	856
273	1032	851
274	1036	847
275	1039	843
276	1042	839
277	1045	835
278	1049	830
279	1052	826
280	1055	822
281	1058	818
282	1062	814
283	1065	810
284	1068	806
285	1071	801
286	1074	797
287	1077	793
288	1080	788
289	1084	784
290	1087	781
291	1090	777
292	1094	773
293	1097	769
294	1100	765
295	1104	760
296	1107	756
297	1110	752
298	1114	748
299	1117	744
300	1120	740
301	1124	737
302	1127	733
303	1131	729
304	1134	725
305	1137	721
306	1140	716
307	1143	712
308	1146	708
309	1149	704
310	1152	700
311	1156	696
312	1159	692
313	1162	688
314	1165	684
315	1169	680
316	1172	676
317	1175	672
318	1178	668
319	1181	664
320	1184	660
321	1188	656
322	1191	653
323	1195	649
324	1198	645
325	1202	641
326	1205	637
327	1208	633
328	1211	629
329	1214	625
330	1217	621
331	1221	618
332	1224	614
333	1227	610
334	1230	606
335	1233	602
336	1236	598
337	1239	594
338	1242	590
339	1245	586
340	1248	582
341	1251	578
342	1254	574
343	1258	570
344	1261	566
345	1264	562
346	1267	558
347	1270	554
348	1273	550
349	1276	547
350	1280	543
351	1283	539
352	1286	535
353	1289	531
354	1292	528
355	1296	524
356	1299	520
357	1302	516
358	1305	512
359	1308	508
360	1312	505
361	1315	501
362	1318	497
363	1321	493
364	1324	489
365	1327	486
366	1330	482
367	1334	478
368	1337	474
369	1340	471
370	1344	467
371	1347	463
372	1350	459
373	1353	455
374	1356	452
375	1359	448
376	1363	444
377	1366	441
378	1369	437
379	1372	433
380	1376	429
381	1379	426
382	1382	422
383	1385	418
384	1388	414
385	1391	411
386	1395	407
387	1398	403
388	1401	399
389	1404	396
390	1407	392
391	1410	388
392	1414	384
393	1417	381
394	1420	377
395	1424	374
396	1427	370
397	1430	366
398	1434	363
399	1437	359
400	1440	355
401	1443	351
402	1446	348
403	1449	344
404	1453	340
405	1456	337
406	1459	333
407	1462	329
408	1465	326
409	1468	322
410	1472	318
411	1475	315
412	1478	311
413	1481	307
414	1484	304
415	1488	300
416	1491	296
417	1494	293
418	1498	289
419	1501	285
420	1504	282
421	1508	278
422	1511	275
423	1514	271
424	1517	267
425	1520	264
426	1523	260
427	1526	256
428	1529	253
429	1532	249
430	1535	245
431	1538	242
432	1542	238
433	1544	234
434	1548	231
435	1551	227
436	1554	224
437	1558	220
438	1560	216
439	1564	213
440	1567	209
441	1570	206
442	1573	202
443	1577	198
444	1580	195
445	1583	191
446	1586	188
447	1590	184
448	1593	180
449	1596	177
450	1599	173
451	1602	170
452	1605	166
453	1608	163
454	1611	159
455	1614	155
456	1617	152
457	1621	148
458	1624	145
459	1627	141
460	1630	137
461	1633	134
462	1636	130
463	1639	127
464	1642	123
465	1645	120
466	1648	116
467	1651	112
468	1654	109
469	1658	105
470	1661	102
471	1664	98
472	1667	95
473	1671	91
474	1674	88
475	1677	84
476	1680	81
477	1683	77
478	1686	73
479	1689	70
480	1692	66
481	1695	63
482	1698	59
483	1701	56
484	1704	52
485	1707	49
486	1710	45
487	1713	42
488	1717	38
489	1720	35
490	1723	31
491	1726	28
492	1729	24
493	1733	21
494	1736	17
495	1739	14
496	1742	10
497	1745	7
498	1748	3
499	1751	0
